Prioridad,Empresa/Entidad,Sector,Zona,Email,Telefono,Web/Fuente,Encaje con asesoramiento empresarial,Propuesta de acercamiento,Notas
Media,Academia de Inglés Inma,Academia / educación,Rincón de la Victoria,info@academiainma.com,"639168549 / 952659141",https://www.academiainma.com/contacto/,"Contratos con familias, protección de datos de menores, autorizaciones, impagos y condiciones de servicio","Ofrecer revisión de matrículas, autorizaciones, condiciones y protección de datos","Buen encaje por datos de menores"
Media,La Playa Idiomas,Academia / idiomas,La Cala del Moral,info@laplayaidiomas.com,951936865,https://www.laplayaidiomas.com/contacto,"Contratos de servicios, menores, protección de datos, condiciones y cobros","Proponer checklist legal para academias: matrículas, autorizaciones, privacidad e impagos","Muy buen encaje"
Media,Origen Fitness Club,Centro deportivo,Rincón de la Victoria,info@origenfitnessclub.com,661105391,https://origenfitnessclub.com/origen-fitness-club-rincon-de-la-victoria/,"Contratos de socios, responsabilidad, lesiones, protección de datos, empleo y reclamaciones","Ofrecer revisión de condiciones de inscripción, exoneraciones y protección de datos","Gimnasio local activo"
Media,BeOne Fitness & Sport,Centro deportivo / pádel,Rincón de la Victoria,rincon@beone.es,952032439,https://padellog.com/clubs/spain/andalucia/malaga/rincon-de-la-victoria/beone-fitness-and-sport,"Contratos de socios, instalaciones, reclamaciones, responsabilidad, laboral y privacidad","Proponer revisión preventiva de documentación de usuarios y condiciones de servicio","Empresa con estructura más grande"
Media,El Boliche del Rincón,Hostelería,Rincón de la Victoria,elbolichedelrincon10@gmail.com,951979899,https://44697942h.es/contacto/,"Hostelería: proveedores, personal, reservas, eventos, reclamaciones y arrendamiento de local","Ofrecer revisión legal básica para hostelería local y contratos con proveedores","Negocio con presencia pública"
Media,DON ANIMAL,Veterinaria / tienda mascotas,Rincón y La Cala,Formulario web / sin email localizado,"952405895 / 951936592",https://acerv.eu/empresas/don-animal/,"Datos de clientes, consentimientos, reclamaciones, proveedores, urgencias y condiciones de servicio","Contacto por teléfono o formulario; proponer checklist para clínicas/servicios veterinarios","Sin email público en fuente consultada"
Media,GE.TE.CO Ingenieros,Puertas automáticas / control accesos,Rincón de la Victoria,Formulario web / sin email localizado,952972372,https://acerv.eu/empresas/ge-te-co/,"Contratos de instalación y mantenimiento, garantías, responsabilidad y normativa técnica","Ofrecer revisión de contratos de mantenimiento, garantías y condiciones de servicio","Empresa técnica B2B"
Media,CD Imagen,Publicidad / regalos empresa,Rincón de la Victoria,Formulario web / sin email localizado,952401291,https://acerv.eu/empresas/cd-imagen/,"Contratos con clientes, propiedad intelectual, condiciones de pedidos, reclamaciones, protección de datos","Ofrecer revisión de presupuestos, condiciones y derechos de diseño/imagen","Sin email público en ficha"
Media,R&C Asociados,Asesoría / administración fincas,La Cala del Moral,info@rycasociados.es,"951495139 / 623012351",https://rycasociados.es/contacto/,"Posible colaboración en asuntos jurídicos complementarios a fiscal/laboral/fincas","Proponer alianza de derivación para conflictos contractuales, reclamaciones e inmobiliario","No vender asesoría fiscal; enfoque colaboración"
Media,Asesoría Purificación Manzano,Asesoría empresas y autónomos,Rincón de la Victoria,manzanoasesoria@gmail.com,"952970527 / 658173698",https://www.asesoriapurificacionmanzano.com/,"Posible colaboración legal complementaria para clientes de asesoría","Proponer apoyo jurídico externo en contratos, reclamaciones e impagos","Enfoque colaborativo, no competir"
Media,MJ Asesoría,Asesoría / consultoría,La Cala del Moral,Formulario web / sin email localizado,"952406404 / 951936819",https://acerv.eu/empresas/mj-asesoria/,"Asesoría con clientes empresa; posible colaboración legal puntual","Contacto por teléfono para explorar colaboración jurídica complementaria","Sin email público en ficha ACERV"
Baja,Centro Auditivo Rincón,Centro auditivo,Rincón de la Victoria,Formulario web / sin email localizado,952402530,https://acerv.eu/empresas/centro-auditivo-rincon/,"Datos sanitarios, garantías, consumidores y condiciones de venta","Contacto por teléfono o formulario; ofrecer revisión de privacidad y garantías","Sin email público en fuente"
Baja,CB Rincón de la Victoria,Club deportivo,Rincón / Torre de Benagalbón,info@cbrv.es,623474281,https://www.cbrv.es/contacto/,"Club con menores, socios, autorizaciones, privacidad y patrocinios","Ofrecer revisión de autorizaciones, patrocinios y documentación de socios","No empresa pura, pero buen tejido local"
